,label,area,perimeter,solidity,tc_channel0,tc_channel1,tc_channel2,fc_channel0,fc_channel1,fc_channel2,circularity,area_flag,circularity_flag,solidity_flag,tc0_flag,tc1_flag,tc2_flag,fc0_flag,fc1_flag,fc2_flag,flagged,TP,ift_path
20,21,282.0,71.35533905932738,0.8392857142857143,221.74468085106383,217.74468085106383,216.74468085106383,232.2872340425532,227.53191489361703,17.47163120567376,0.695994846851274,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
21,22,154.0,46.87005768508881,0.9447852760736196,214.46753246753246,210.83116883116884,210.74025974025975,226.41558441558442,221.1883116883117,7.162337662337662,0.8809263665143321,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
22,23,123.0,42.62741699796952,0.924812030075188,219.7479674796748,215.7479674796748,214.7479674796748,231.8617886178862,225.6747967479675,28.414634146341463,0.8506226458106044,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
23,24,301.0,71.698484809835,0.9318885448916409,214.53488372093022,210.53488372093022,209.53488372093022,225.7375415282392,220.09966777408638,16.82059800664452,0.7357942740147247,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
24,25,220.0,63.11269837220809,0.8396946564885496,215.76363636363635,211.76363636363635,210.76363636363635,227.0909090909091,222.63181818181818,21.654545454545456,0.6940632464993115,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
25,26,293.0,71.11269837220809,0.8905775075987842,209.93856655290102,205.94539249146757,205.1296928327645,222.160409556314,215.5529010238908,15.689419795221843,0.7280868173684134,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
26,27,126.0,40.97056274847714,0.9545454545454546,213.6984126984127,209.6984126984127,208.6984126984127,225.8095238095238,220.67460317460316,21.555555555555557,0.9432711477921325,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
28,29,489.0,111.39696961966999,0.8316326530612245,216.04498977505114,212.04498977505114,211.04498977505114,227.35787321063395,220.49079754601226,20.505112474437627,0.49519011848235883,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
29,30,266.0,81.59797974644667,0.7535410764872521,213.50375939849624,209.50375939849624,208.50375939849624,224.8796992481203,218.83082706766916,22.834586466165412,0.5020334883987746,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
32,33,267.0,62.18376618407357,0.9535714285714286,215.31460674157304,211.31460674157304,210.31460674157304,227.40074906367042,220.14232209737827,11.415730337078651,0.867694974159028,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
33,34,120.0,38.970562748477136,0.96,220.18333333333334,216.18333333333334,215.18333333333334,231.45,225.15833333333333,11.158333333333333,0.9929279952982467,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
34,35,102.0,34.97056274847714,0.9622641509433962,218.62745098039215,213.80392156862746,214.5686274509804,230.44117647058823,226.27450980392157,20.019607843137255,1.0481050020956875,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
35,36,145.0,53.698484809834994,0.8430232558139535,215.7103448275862,211.7103448275862,210.7103448275862,226.44137931034481,219.44137931034481,15.565517241379311,0.6319079266175992,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
0,1,208.0,54.2842712474619,0.9454545454545454,216.04326923076923,211.70192307692307,210.7596153846154,226.28365384615384,219.625,12.298076923076923,0.8870031766070385,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1128.terra.labeled_image.250m.h5
